Row,Codes / 64f,Tokenizer split,H2S DTW Body ↓,H2S DTW Hand ↓,CSL DTW Body ↓,CSL DTW Hand ↓,Ph-T DTW Body ↓,Ph-T DTW Hand ↓,Note
SOKE whole-body,48,Whole-body,9.49,3.56,9.22,3.35,8.03,3.23,paper Table 4
SOKE body+hands,48,Body + both hands,7.99,3.13,6.93,2.85,6.24,2.18,paper Table 4
SOKE body+lhand+rhand,48,Body + L-hand + R-hand,6.82,2.35,6.24,1.71,4.77,1.38,paper Table 4
Ours NB51 unified 256/1024,256,"Unified, no partition",10.29504422436675,7.59729053495403,10.008337081492682,8.13522686040068,10.07082155202183,9.481846522150606,"local val tokenizer reconstruction DTW-PA proxy, not LM generation"
